effect_type,feature,qp,resampling,n_images,n_clusters,family_size,alpha,bootstrap_resamples,rho_clean,rho_noisy_mean3,b_homogeneity,b_other,estimate,bound_low,bound_high,simultaneous_low,simultaneous_high,critical_value,evaluable,invalid_resamples,excludes_zero
C,edge_fraction,32,scene_cluster,48,47,44,0.05,99999,0.7026704298740774,0.1961333204519542,-0.7690153872137985,-0.5065371094221232,-0.2624782777916753,-4.0,4.0,-0.7651115835182334,0.24015502793488275,0.5026333057265581,True,0,False
C,edge_fraction,37,scene_cluster,48,47,44,0.05,99999,0.7354537559704735,0.37699719947328214,-0.6325609452638039,-0.3584565564971913,-0.2741043887666126,-4.0,4.0,-0.7767376944931706,0.22852891695994548,0.5026333057265581,True,0,False
C,glcm_contrast,22,scene_cluster,48,47,44,0.05,99999,0.741858445505862,0.21826602981618182,-0.8859820523954264,-0.5235924156896802,-0.3623896367057462,-4.0,4.0,-0.8650229424323043,0.14024366902081187,0.5026333057265581,True,0,False
C,glcm_contrast,27,scene_cluster,48,47,44,0.05,99999,0.7673686495874947,0.4809892745236126,-0.680036529804479,-0.2863793750638821,-0.3936571547405969,-4.0,4.0,-0.896290460467155,0.10897615098596114,0.5026333057265581,True,0,False
C,glcm_contrast,32,scene_cluster,48,47,44,0.05,99999,0.8226226660877118,0.44105895970050746,-0.7690153872137985,-0.3815637063872044,-0.3874516808265941,-4.0,4.0,-0.8900849865531522,0.11518162489996397,0.5026333057265581,True,0,False
C,glcm_contrast,37,scene_cluster,48,47,44,0.05,99999,0.8764654798089451,0.5769159158406804,-0.6325609452638039,-0.2995495639682647,-0.3330113812955392,-4.0,4.0,-0.8356446870220973,0.16962192443101887,0.5026333057265581,True,0,False
C,glcm_entropy,22,scene_cluster,48,47,44,0.05,99999,0.5325662179765523,-0.07164567954841512,-0.8859820523954264,-0.6042118975249675,-0.28177015487045887,-4.0,4.0,-0.7844034605970169,0.2208631508560992,0.5026333057265581,True,0,False
C,glcm_entropy,27,scene_cluster,48,47,44,0.05,99999,0.5856491532783327,0.10745152538951813,-0.680036529804479,-0.47819762788881454,-0.2018389019156645,-4.0,4.0,-0.7044722076422225,0.30079440381089356,0.5026333057265581,True,0,False
C,glcm_entropy,32,scene_cluster,48,47,44,0.05,99999,0.6264654798089448,0.06419212413772869,-0.7690153872137985,-0.5622733556712162,-0.2067420315425823,-4.0,4.0,-0.7093753372691404,0.29589127418397576,0.5026333057265581,True,0,False
C,glcm_entropy,37,scene_cluster,48,47,44,0.05,99999,0.6910551454624404,0.2523182337959697,-0.6325609452638039,-0.4387369116664707,-0.1938240335973332,-4.0,4.0,-0.6964573393238913,0.3088092721292249,0.5026333057265581,True,0,False
