distortion,level,seed,qp,feature,primary,n_images,rho,oriented_rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate,permutation_p,holm_p,unique_feature_values,unique_density_values
awgn,5,20260813,27,glcm_entropy,False,24,0.6939130434782609,0.6939130434782609,0.40281380780528225,0.8469613151309513,0,True,False,nan,nan,24,24
awgn,5,20260813,27,glcm_homogeneity,False,24,-0.7765217391304349,0.7765217391304349,-0.8966272448532635,-0.5190538764783181,0,True,False,nan,nan,24,24
awgn,5,20260813,32,sobel_si,False,24,0.7121739130434782,0.7121739130434782,0.42544818539571494,0.8713347921225384,0,True,False,nan,nan,24,24
awgn,5,20260813,32,luma_sd,False,24,0.16695652173913042,0.16695652173913042,-0.26906310521715104,0.5702407002188183,0,True,False,nan,nan,24,24
awgn,5,20260813,32,edge_fraction,False,24,0.8982608695652174,0.8982608695652174,0.7550306211723536,0.9516483516483515,0,True,False,nan,nan,24,24
awgn,5,20260813,32,glcm_contrast,False,24,0.7913043478260868,0.7913043478260868,0.5414819402353599,0.9116360454943133,0,True,False,nan,nan,24,24
awgn,5,20260813,32,glcm_entropy,False,24,0.7034782608695651,0.7034782608695651,0.40202100826179377,0.8646748681898068,0,True,False,nan,nan,24,24
awgn,5,20260813,32,glcm_homogeneity,False,24,-0.7999999999999998,0.7999999999999998,-0.9073265326906103,-0.5659351380275764,0,True,False,nan,nan,24,24
awgn,5,20260813,37,sobel_si,False,24,0.7808695652173913,0.7808695652173913,0.5404795526379773,0.9012669287898646,0,True,False,nan,nan,24,24
awgn,5,20260813,37,luma_sd,False,24,0.23130434782608697,0.23130434782608697,-0.21397379912663755,0.6344463971880492,0,True,False,nan,nan,24,24
awgn,5,20260813,37,edge_fraction,False,24,0.8965217391304348,0.8965217391304348,0.74989068648885,0.9544857768052517,0,True,False,nan,nan,24,24
awgn,5,20260813,37,glcm_contrast,False,24,0.8486956521739131,0.8486956521739131,0.6545693047660692,0.9315188762071992,0,True,False,nan,nan,24,24
awgn,5,20260813,37,glcm_entropy,False,24,0.7417391304347826,0.7417391304347826,0.4521613601268644,0.8870761443564259,0,True,False,nan,nan,24,24
awgn,5,20260813,37,glcm_homogeneity,False,24,-0.8486956521739131,0.8486956521739131,-0.9209156206367181,-0.6689886898989489,0,True,False,nan,nan,24,24
awgn,15,20260811,22,sobel_si,True,24,0.846270948468357,0.846270948468357,0.6221441124780318,0.9492785308264102,0,True,False,1e-05,0.00168,24,23
awgn,15,20260811,22,luma_sd,True,24,0.4674929442977821,0.4674929442977821,0.10216945916057975,0.7256792287467135,0,True,False,0.02257,0.85728,24,23
awgn,15,20260811,22,edge_fraction,True,24,0.761469902758527,0.761469902758527,0.4149532763285653,0.9392618994875545,0,True,False,4e-05,0.004520000000000001,24,23
awgn,15,20260811,22,glcm_contrast,True,24,0.677103734206183,0.677103734206183,0.28797139035704616,0.9077373788963148,0,True,False,0.00038,0.025840000000000002,24,23
awgn,15,20260811,22,glcm_entropy,True,24,0.5414220610704545,0.5414220610704545,0.11375996294632396,0.8190790483140784,0,True,False,0.0068,0.28559999999999997,24,23
awgn,15,20260811,22,glcm_homogeneity,True,24,-0.6797129971511008,0.6797129971511008,-0.9048461470063935,-0.2924254509303604,0,True,False,0.00037,0.02553,24,23
awgn,15,20260811,27,sobel_si,True,24,0.8278260869565217,0.8278260869565217,0.5872321818976827,0.9360210341805435,0,True,False,2e-05,0.00284,24,24
awgn,15,20260811,27,luma_sd,True,24,0.42869565217391303,0.42869565217391303,0.038007863695937075,0.7205633583540981,0,True,False,0.03734,1.0,24,24
awgn,15,20260811,27,edge_fraction,True,24,0.7939130434782609,0.7939130434782609,0.5209777099830033,0.9086517347386913,0,True,False,1e-05,0.00168,24,24
awgn,15,20260811,27,glcm_contrast,True,24,0.7208695652173913,0.7208695652173913,0.3988598441442,0.8921525646646207,0,True,False,9e-05,0.00855,24,24
awgn,15,20260811,27,glcm_entropy,True,24,0.5530434782608695,0.5530434782608695,0.14962702939885913,0.8085664335664335,0,True,False,0.00582,0.26189999999999997,24,24
awgn,15,20260811,27,glcm_homogeneity,True,24,-0.7121739130434782,0.7121739130434782,-0.8775153105861768,-0.3930586479950443,0,True,False,0.0001,0.0091,24,24
awgn,15,20260811,32,sobel_si,True,24,0.8321739130434782,0.8321739130434782,0.6068293766196207,0.9306409130816504,0,True,False,1e-05,0.00168,24,24
awgn,15,20260811,32,luma_sd,True,24,0.2756521739130435,0.2756521739130435,-0.15849840361922798,0.6318320944468736,0,True,False,0.19125,1.0,24,24
awgn,15,20260811,32,edge_fraction,True,24,0.8478260869565217,0.8478260869565217,0.6334940815431829,0.9323671497584541,0,True,False,1e-05,0.00168,24,24
awgn,15,20260811,32,glcm_contrast,True,24,0.7939130434782609,0.7939130434782609,0.5416848537756438,0.9195804195804196,0,True,False,2e-05,0.00284,24,24
awgn,15,20260811,32,glcm_entropy,True,24,0.5747826086956522,0.5747826086956522,0.17135202231863048,0.8336252189141855,0,True,False,0.00398,0.18377000000000002,24,24
